epoch,train_loss,train_iou,val_loss,val_iou
1,0.5512424379587173,0.5679082304239274,6.272574424743652,0.4228943884372711
2,0.3333607822656631,0.738314402103424,1.8019555807113647,0.62314373254776
3,0.2456270694732666,0.7680382609367371,0.2655618190765381,0.8303964138031006
4,0.2059706062078476,0.7635299623012543,2.77699875831604,0.3877013623714447
5,0.19741378128528594,0.7632700264453888,3.0191810131073,0.5160873532295227
6,0.16206298172473907,0.7804011940956116,0.31481656432151794,0.8011226058006287
7,0.1539630800485611,0.7868842720985413,0.14196068048477173,0.8792840242385864
8,0.13275381699204444,0.8126228988170624,0.12090198695659637,0.895300030708313
9,0.126390790194273,0.8176491439342499,0.10500475764274597,0.9047577381134033
10,0.12361216247081756,0.8235326290130616,0.10458819568157196,0.9124186635017395
11,0.11490033939480782,0.8290895521640778,0.2134898155927658,0.850403368473053
12,0.10182551220059395,0.8520938396453858,0.13533394038677216,0.8754169344902039
13,0.09713889434933662,0.8506033658981323,0.10408223420381546,0.9053605794906616
14,0.09067121893167496,0.8593728840351105,0.09526340663433075,0.9145718812942505
15,0.11925118267536164,0.8419052243232727,0.08971111476421356,0.9128944277763367
16,0.1072839304804802,0.8281413555145264,0.0905953124165535,0.9151595234870911
17,0.09566943123936653,0.8534256756305695,0.08452128618955612,0.9175860285758972
18,0.08847046792507171,0.8621660590171814,0.0869080126285553,0.9200623035430908
19,0.08152072057127953,0.8746912717819214,0.08671415597200394,0.9238555431365967
20,0.07502011135220528,0.8839280247688294,0.0830620601773262,0.9243752956390381
21,0.07314780540764332,0.8879440367221832,0.08504848927259445,0.9246001839637756
22,0.07139933742582798,0.8919236898422241,0.08091359585523605,0.9258535504341125
23,0.06847018040716649,0.886510556936264,0.08409657329320908,0.9196605086326599
24,0.06248430907726288,0.9013071358203888,0.12801484763622284,0.8933722972869873
25,0.0614968080073595,0.9026226937770844,0.09263596683740616,0.9086511135101318
26,0.060058203712105754,0.9027113258838654,0.08767764270305634,0.9198963046073914
27,0.05829266496002674,0.9042105555534363,0.08880923688411713,0.9129856824874878
28,0.05534483194351196,0.9104559242725372,0.09640521556138992,0.9143152236938477
29,0.05422387756407261,0.9144552946090698,0.08843547850847244,0.9149520397186279
30,0.04918341562151909,0.9216929018497467,0.08663936704397202,0.9194677472114563
31,0.049357824772596356,0.9235418796539306,0.09253352135419846,0.9197097420692444
32,0.048773182183504106,0.9232168436050415,0.08642664551734924,0.9224456548690796
33,0.04721068143844605,0.9268610060214997,0.0857558473944664,0.9216997027397156
34,0.044577788561582565,0.9264520764350891,0.09415755420923233,0.9173257350921631
35,0.04383665174245834,0.9267648041248322,0.09417802095413208,0.9146541357040405
36,0.04239557310938835,0.9280297040939331,0.09490691870450974,0.9145360589027405
37,0.04518292844295502,0.9282623171806336,0.09812803566455841,0.9197956323623657
38,0.041974464803934096,0.931081622838974,0.09667738527059555,0.9194989800453186
39,0.03818545490503311,0.9365185856819153,0.09891239553689957,0.9179813265800476
40,0.036612549982964995,0.9374113142490387,0.09171333909034729,0.9242792129516602
41,0.034836762212216855,0.9430514693260192,0.09985522925853729,0.9206476807594299
42,0.03396821618080139,0.9448362112045288,0.0944795086979866,0.9248484969139099
43,0.032834511063992974,0.947402423620224,0.09974773973226547,0.924407422542572
44,0.03259440567344427,0.9473738193511962,0.09842155128717422,0.9211795330047607
45,0.032927095890045166,0.9494069874286651,0.10350055247545242,0.9202816486358643
46,0.029922754131257535,0.9537265062332153,0.09549088776111603,0.9203468561172485
47,0.02874132115393877,0.954080319404602,0.10750088840723038,0.921818733215332
48,0.029878851398825644,0.952288019657135,0.10327425599098206,0.9201754927635193
49,0.03036867845803499,0.9496447741985321,0.12321054190397263,0.9113562703132629
50,0.02876296527683735,0.9539508998394013,0.10573992878198624,0.9243037104606628
